objective,objective_name,dimension,optimizer,learning_rate,steps_run,converged,converged_step,stop_reason,initial_value,final_value,objective_gap,final_gradient_norm,distance_to_minimizer,final_point
quartic,Quartic,1,gradient_descent,0.01,5000,False,,maximum_steps,5.0625,6.223282397793211e-06,6.223282397793211e-06,0.0004983960857418458,0.04994647892171998,[-0.04994647892171998]
quartic,Quartic,1,normalized_gradient_descent,0.01,150,True,150,gradient_tolerance,5.0625,2.0526617341693363e-60,2.0526617341693363e-60,6.859587985528727e-45,1.1969591984239969e-15,[1.1969591984239969e-15]
quartic,Quartic,1,rmsprop,0.01,318,True,318,gradient_tolerance,5.0625,1.561004493259667e-09,1.561004493259667e-09,9.933747259081449e-07,0.0062856622080155865,[-0.0062856622080155865]
quartic,Quartic,1,adam,0.1,31,True,31,gradient_tolerance,5.0625,5.21191491257245e-11,5.21191491257245e-11,7.759039790866945e-08,0.002686886549393558,[0.002686886549393558]
tilted_quartic,Tilted quartic,1,gradient_descent,1.0,34,True,34,gradient_tolerance,0.8,-0.1699692844619493,1.144223604754302e-12,9.638021040814238e-07,2.3743726216274297e-06,[-1.2347704506806754]
tilted_quartic,Tilted quartic,1,normalized_gradient_descent,0.01,5000,False,,maximum_steps,0.8,-0.1699637248,5.559663093540612e-06,0.002129920000000993,0.005227174946705437,[-1.2400000000000024]
tilted_quartic,Tilted quartic,1,rmsprop,0.02,205,True,205,gradient_tolerance,0.8,-0.1699692844627475,3.4602876120004566e-13,5.300339645941676e-07,1.3057630263713094e-06,[-1.2347715192902706]
tilted_quartic,Tilted quartic,1,adam,0.05,266,True,266,gradient_tolerance,0.8,-0.16996928446195106,1.1424750034905173e-12,9.630715082664665e-07,2.3725727607004643e-06,[-1.2347704524805363]
ill_conditioned_quadratic,Ill-conditioned quadratic,2,gradient_descent,0.01,1513,True,1513,gradient_tolerance,458.0,4.956656684461162e-13,4.956656684461162e-13,9.9565623429587e-07,9.9565623429587e-07,"[-9.9565623429587e-07, 0.0]"
ill_conditioned_quadratic,Ill-conditioned quadratic,2,normalized_gradient_descent,0.05,5000,False,,maximum_steps,458.0,0.031250185187519514,0.031250185187519514,2.5000074074898064,0.025000074074898064,"[-1.4993756558100924e-43, 0.025000074074898064]"
ill_conditioned_quadratic,Ill-conditioned quadratic,2,rmsprop,0.05,125,True,125,gradient_tolerance,458.0,8.139214892628713e-14,8.139214892628713e-14,4.0346536140364546e-07,4.0346536140364546e-07,"[-4.0346536140364546e-07, -3.1152720252680403e-21]"
ill_conditioned_quadratic,Ill-conditioned quadratic,2,adam,0.1,330,True,330,gradient_tolerance,458.0,8.987216678810719e-15,8.987216678810719e-15,2.1948683983216914e-07,1.3293770331475766e-07,"[-1.3292622936637425e-07, -1.7465706514753514e-09]"
rosenbrock,Rosenbrock,2,gradient_descent,0.001,5000,False,,maximum_steps,62.5,0.004950957488496033,0.004950957488496033,0.0665975517481624,0.1530556750578294,"[0.9296981655323309, 0.8640452584942757]"
rosenbrock,Rosenbrock,2,normalized_gradient_descent,0.001,5000,False,,maximum_steps,62.5,0.0015319585942475825,0.0015319585942475825,0.4713100613872201,0.08291971359370723,"[0.9628594442716497, 0.9258632478277357]"
rosenbrock,Rosenbrock,2,rmsprop,0.001,5000,False,,maximum_steps,62.5,0.0005647827246675404,0.0005647827246675404,0.6482064620256686,0.04150316934886048,"[0.9819274727302585, 0.9626382973610056]"
rosenbrock,Rosenbrock,2,adam,0.03,4276,True,4276,gradient_tolerance,62.5,9.69534758001285e-13,9.69534758001285e-13,9.95697586128759e-07,2.2033807634715277e-06,"[0.9999990157765767, 0.9999980286575534]"
